,0,1
const,9.113583914054765,9.14395863059379
Brand,-0.001795119852903255,0.0013638584097275448
Model,-0.0002949015717022286,0.00075972445802757
Engine_Size,0.14349946534238928,0.1521255219531501
Fuel_Type,-0.017550276754503602,-0.009797221047644866
Transmission,-0.10489405659982123,-0.09432442676399841
Doors,-0.004654518782201069,0.003992081257945831
Owner_Count,-0.0023897859772320697,0.003684341529954719
Car_Age,-0.26794812068197565,-0.2592779486369195
Mileage_log,-0.1904024254435981,-0.18172790232894237
